latitude,longitude,geometry,BUILDING_N,STN_NO,XCOORD,YCOORD
1.385204051,103.7443782,Point,CHOA CHU KANG MRT STATION,NS4,18102.06959,40794.52744
1.449050822,103.8200461,Point,SEMBAWANG MRT STATION,NS11,26522.98827,47854.19983
1.417527442,103.8330374,Point,KHATIB MRT STATION,NS14,27968.7053,44368.49875
1.327187134,103.9463465,Point,TANAH MERAH MRT STATION,EW4,40578.86159,34379.41438
1.381756046,103.8449473,Point,YIO CHU KANG MRT STATION,NS15,29294.12832,40413.08203
1.369933175,103.8495581,Point,ANG MO KIO MRT STATION,NS16,29807.26546,39105.77201
1.289619788,103.816795,Point,REDHILL MRT STATION,EW18,26161.06773,30225.12924
1.32103668,103.9129582,Point,KEMBANGAN MRT STATION,EW6,36863.09893,33699.18341
1.425177699,103.7621654,Point,KRANJI MRT STATION,NS7,20081.69745,45214.54794
1.397535018,103.7474051,Point,YEW TEE MRT STATION,NS5,18438.97914,42158.0124
1.306820872,103.7906213,Point,BUONA VISTA MRT STATION,EW21/CC22,23248.18537,32127.17088
1.34223099,103.7327565,Point,CHINESE GARDEN MRT STATION,EW25,16808.52086,36042.82972
1.337586882,103.6973215,Point,PIONEER MRT STATION,EW28,12864.95921,35529.49732
1.37304163,103.9492849,Point,PASIR RIS MRT STATION,EW1,40905.64219,39449.7959
1.302356795,103.798392,Point,COMMONWEALTH MRT STATION,EW20,24112.98563,31633.54274
1.319755493,103.9031055,Point,EUNOS MRT STATION,EW7,35766.6049,33557.48318
1.432597679,103.7740041,Point,MARSILING MRT STATION,NS8,21399.1872,46034.97508
1.343202895,103.9533717,Point,SIMEI MRT STATION,EW3,41360.61381,36150.39588
1.353301414,103.9451448,Point,TAMPINES MRT STATION,EW2,40444.99657,37266.9972
1.358642056,103.7518751,Point,BUKIT GOMBAK MRT STATION,NS3,18936.28162,37857.40426
1.440585001,103.800988,Point,ADMIRALTY MRT STATION,NS10,24402.10627,46918.11308
